"Story","Title","Result","Date","Stability","Duration (s)"
"Practice text box","Full text box","SUCCESS","2021-06-30T19:45:20.3351962-05:00[America/Bogota]","0.0","26.18"
"Register new user","Register Successful","SUCCESS","2021-06-26T16:05:00.4009186-05:00[America/Bogota]","0.0","24.88"
